mon_feature_id,date_time,sample_begin_depth,institution_abbr,preservative_abbr,Ca_Diss_Water,Cl_Diss_Water,DMS_Tot_Water,EC_Phys_Water,F_Diss_Water,K_Diss_Water,Mg_Diss_Water,Na_Diss_Water,NH4_N_Diss_Water,NO3_NO2_N_Diss_Water,P_Tot_Water,pH_Diss_Water,PO4_P_Diss_Water,Si_Diss_Water,SO4_Diss_Water,TAL_Diss_Water,Station,Qat,Charge BalanceMax,ChargeBalanceMin,CHARGE BALANCE
101975,1991/12/17 16:00,0,DWS-RQIS,HGCL2,19.6,86.3,383,63.7,0.19,17.88,6.7,78.2,0.02,7.254,,7.91,4.473,6.44,22.8,86.7,G2H015Q01,G22H,5.387396553,4.90774427,4.659016235
101975,1992/01/14 05:50,0,DWS-RQIS,HGCL2,16.1,141.7,372,65.1,0.24,7.44,12.8,83.8,0.12,0.543,,7.47,0.845,4.77,20.7,68.9,G2H015Q01,G22H,5.696916719,5.848424398,-1.312284136
101975,1992/01/21 05:41,0,DWS-RQIS,HGCL2,12.4,85.4,251,42.1,0.39,6.5,7.7,55.6,0.081,0.839,,7.61,0.827,4.74,15.4,50.3,G2H015Q01,G22H,3.840330435,3.792307646,0.629176813
101975,1992/02/04 08:25,0,DWS-RQIS,HGCL2,11.2,56.1,257,40.7,0.19,10.62,4.6,51.7,0.357,2.409,,7.65,3.355,5.18,16.6,69,G2H015Q01,G22H,3.476474988,3.460557362,0.229458716
101975,1992/02/17 06:00,0,DWS-RQIS,HGCL2,12.4,89.6,279,47.1,0.2,8.3,7.5,59.8,0.083,0.893,,7.63,0.955,4.63,20.5,60.6,G2H015Q01,G22H,4.052625142,4.217670016,-1.99563463
101975,1992/02/25 06:00,0,DWS-RQIS,HGCL2,12.8,85.5,269,43.2,0.17,9.64,7.2,55,0.02,0.571,,7.53,1.182,5.26,11,67.1,G2H015Q01,G22H,3.869959356,4.034862266,-2.086105385
101975,1992/03/03 06:00,0,DWS-RQIS,HGCL2,13.9,70.5,221,38.5,0.17,7.89,6.9,42,0.106,1.149,,8.29,0.591,4.62,12.4,49.7,G2H015Q01,G22H,3.294934194,3.284122793,0.164330553
101975,1992/03/10 05:50,0,DWS-RQIS,HGCL2,15,91.3,306,54.4,0.2,12.4,8.3,66.1,0.102,2.538,,7.9,1.132,5.68,14,68.7,G2H015Q01,G22H,4.627972508,4.324403317,3.390934389
101975,1992/03/17 05:55,0,DWS-RQIS,HGCL2,16.4,124.1,378,63.7,0.23,16.89,9.4,81,0.167,3.447,,7.58,1.477,7.2,18.8,74.9,G2H015Q01,G22H,5.554603881,5.499377896,0.499602649
101975,1992/03/24 06:00,0,DWS-RQIS,HGCL2,17.8,125.3,407,64.9,0.18,17.26,11.8,85.3,0.367,3.195,,7.18,1.642,6.98,23.3,86.9,G2H015Q01,G22H,6.02949073,5.865347589,1.379952689
101975,1992/04/14 06:30,0,DWS-RQIS,HGCL2,12.7,76.4,241,44.2,0.18,9.44,6.6,49.1,0.089,3.571,,7.93,0.2,6.39,14.5,45.5,G2H015Q01,G22H,3.557785614,3.437267915,1.722898882
101975,1992/04/20 18:45,0,DWS-RQIS,HGCL2,10.8,49.8,160,29.9,0.23,4.63,5.8,29,0.02,1.118,,7.92,0.273,5.08,15,31.8,G2H015Q01,G22H,2.39641462,2.389750293,0.139241486
101975,1992/05/04 18:40,0,DWS-RQIS,HGCL2,9.5,57.4,170,33.4,0.12,5.61,6,31.3,0.427,1.547,,7.67,0.103,4.87,14.5,31.1,G2H015Q01,G22H,2.49571267,2.575190433,-1.567329552
101975,1992/06/10 12:28,0,DWS-RQIS,HGCL2,16.2,87.2,244,42.2,0.24,6.88,9.8,47.6,0.304,1.729,,7.57,0.051,6.13,19.3,39.7,G2H015Q01,G22H,3.876977598,3.694132163,2.415041398
101975,1992/06/16 06:20,0,DWS-RQIS,HGCL2,16.7,90.2,266,51.1,0.43,8.88,10.5,51.8,0.664,1.455,,7.38,0.362,6.78,19.2,49.4,G2H015Q01,G22H,4.213288013,3.985959737,2.772550394
101975,1992/06/23 06:50,0,DWS-RQIS,HGCL2,7,25.9,100,18.9,0.17,3.63,3.8,15.2,0.144,0.681,,7.25,0.052,2.79,16.5,19.9,G2H015Q01,G22H,1.423592824,1.492543109,-2.364440037
101975,1992/06/30 07:30,0,DWS-RQIS,HGCL2,22.1,94.1,290,53.5,0.34,5.32,13.4,49.5,0.103,1.148,,7.87,0.017,7.22,29.1,57.9,G2H015Q01,G22H,4.499082564,4.45127108,0.534185415
101975,1992/07/07 12:00,0,DWS-RQIS,HGCL2,9.7,29.9,116,20.5,0.25,3.53,5.6,17.5,0.089,0.541,,7.74,0.028,3.9,14.8,26.3,G2H015Q01,G22H,1.800791213,1.69903392,2.9074965
101975,1992/07/14 07:00,0,DWS-RQIS,HGCL2,10.4,45,155,29.1,0.15,5.65,5.8,24,0.24,0.875,,7.37,0.063,4.6,18.1,33.9,G2H015Q01,G22H,2.19738237,2.346293694,-3.277331446
101975,1992/07/21 07:00,0,DWS-RQIS,HGCL2,16.6,71.3,230,41.5,0.16,6.31,8,40.3,0.449,1.807,,7.7,0.062,5.99,20,48,G2H015Q01,G22H,3.42486582,3.424207903,0.009605924
101975,1992/07/28 06:30,0,DWS-RQIS,HGCL2,11.4,55.9,182,34.1,0.28,5.06,7.4,30.2,0.357,1.267,,6.74,0.057,5.14,18.8,38.7,G2H015Q01,G22H,2.639920628,2.776879318,-2.52840592
101975,1992/08/04 06:50,0,DWS-RQIS,HGCL2,11.3,60.3,192,31.4,0.38,5.16,7.4,34.5,0.517,2.004,,7.53,0.061,5.4,12.4,41.5,G2H015Q01,G22H,2.833336052,2.840904962,-0.1333907
101975,1992/08/10 06:45,0,DWS-RQIS,HGCL2,12.4,78.9,241,44.2,0.13,6.77,8.4,45.9,1.332,1.765,,7.85,0.219,5.11,17.6,49.5,G2H015Q01,G22H,3.552609844,3.621045968,-0.953992294
101975,1992/08/11 06:30,0,DWS-RQIS,HGCL2,9.8,57.1,171,28.5,0.16,4.7,6.7,32.2,0.62,1.324,,7.77,0.056,4.58,10,35.3,G2H015Q01,G22H,2.594867432,2.554111562,0.791533045
101975,1992/08/25 07:00,0,DWS-RQIS,HGCL2,10.7,54.6,168,30.9,0.05,4.87,7,30.4,0.48,1.044,,7.43,0.062,4.09,11.6,35.7,G2H015Q01,G22H,2.582755749,2.514871545,1.331682381
101975,1992/09/01 06:30,0,DWS-RQIS,HGCL2,14.7,81.4,246,42.1,0.22,6.38,10.5,44.6,0.227,1.72,,7.78,0.056,5.88,19.4,50.2,G2H015Q01,G22H,3.712277515,3.741793148,-0.395966647
101975,1992/09/08 06:30,0,DWS-RQIS,HGCL2,14.1,74,223,42.2,0.53,6.27,8.8,41.1,0.202,1.656,,7.94,0.041,5.48,17.8,43.3,G2H015Q01,G22H,3.386058531,3.376853644,0.136108332
101975,1992/09/15 06:30,0,DWS-RQIS,HGCL2,14.4,80.9,249,44.4,0.25,6.79,9.4,49.6,0.187,2.406,,8.45,0.164,5.64,18.8,47.2,G2H015Q01,G22H,3.832434957,3.671275638,2.14772834
101975,1992/09/22 06:00,0,DWS-RQIS,HGCL2,9.4,56.4,176,28.5,0.18,5.02,7,31.9,0.167,1.257,,8.02,0.047,4.07,18.9,34.2,G2H015Q01,G22H,2.569582664,2.697304753,-2.425001322
101975,1992/09/29 06:30,0,DWS-RQIS,HGCL2,14.4,79.8,238,39.7,0.21,6.66,8.8,45.8,0.189,2.01,,7.8,0.08,5.64,16.4,46.1,G2H015Q01,G22H,3.614621153,3.55719676,0.80069507
101975,1992/10/06 05:30,0,DWS-RQIS,HGCL2,13.5,78,242,45.1,0.31,5.92,9,48.9,0.106,2.03,,8.04,0.129,6.62,18.3,47.9,G2H015Q01,G22H,3.697439944,3.589167786,1.485906233
101975,1992/10/13 06:30,0,DWS-RQIS,HGCL2,11.7,66.8,204,35.4,0.2,5.7,7.8,38.5,0.262,1.376,,8.13,0.072,5.64,14.4,43.1,G2H015Q01,G22H,3.059765106,3.078371514,-0.303127962
101975,1992/10/20 06:30,0,DWS-RQIS,HGCL2,9.1,59.6,174,30.5,0.12,4.89,6.4,31.6,0.274,1.124,,7.31,0.065,4.06,12.8,35.9,G2H015Q01,G22H,2.494813512,2.689759871,-3.76012343
101975,1992/10/27 06:30,0,DWS-RQIS,HGCL2,12.9,72.7,220,40.8,0.55,6.06,8.5,38,0.178,1.329,,7.73,0.055,5.25,19.2,45.6,G2H015Q01,G22H,3.160030013,3.411590785,-3.827986736
101975,1992/11/17 06:20,0,DWS-RQIS,HGCL2,14.5,82.1,252,43.4,0.28,8.25,9.1,51.3,0.162,2.067,,7.75,0.475,6.44,12.7,51.7,G2H015Q01,G22H,3.922595438,3.674059621,3.271648059
101975,1992/12/01 06:20,0,DWS-RQIS,HGCL2,12.2,92.1,269,47.5,0.2,7.2,9.7,56.2,0.076,1.729,,8.13,0.245,5.69,19,52.2,G2H015Q01,G22H,4.038676418,4.079937888,-0.508232911
101975,1992/12/22 06:30,0,DWS-RQIS,HGCL2,14.2,112.2,318,50,0.26,8.1,10.4,67.6,0.176,2.017,,7.98,0.621,5.62,24.7,56.6,G2H015Q01,G22H,4.720265843,4.872438242,-1.586334762
101975,1992/12/29 06:00,0,DWS-RQIS,HGCL2,17.5,118.3,363,62.3,0.27,10.03,10.9,76.2,0.067,1.824,,8.21,0.867,5.28,35.1,69,G2H015Q01,G22H,5.343224736,5.513892269,-1.571941541
101975,1993/01/05 06:10,0,DWS-RQIS,HGCL2,11.8,80.2,262,42.6,0.15,7.77,7.3,56.4,0.02,1.627,,8.05,1.509,4.53,22.4,52.2,G2H015Q01,G22H,3.841357975,3.851125295,-0.126972256
101975,1993/01/12 06:00,0,DWS-RQIS,HGCL2,11.1,85,274,43.6,0.28,8.13,7.6,55.8,0.271,1.348,,8.02,1.227,4.34,23.1,60.2,G2H015Q01,G22H,3.828201264,4.154341563,-4.085669261
101975,1993/01/19 06:15,0,DWS-RQIS,HGCL2,10.7,55.1,188,33.9,0.17,5.34,5.9,36.4,0.02,0.416,,7.93,0.391,4.06,13.9,47.3,G2H015Q01,G22H,2.73955524,2.815399088,-1.365337026
101975,1993/02/02 06:00,0,DWS-RQIS,HGCL2,11.7,94.3,256,45.6,0.17,6.58,8.2,54.9,0.182,0.809,,7.55,0.39,4.31,18.6,46.8,G2H015Q01,G22H,3.823792344,4.013746347,-2.423643576
101975,1993/02/16 07:40,0,DWS-RQIS,HGCL2,13,58.8,200,34.1,0.19,8.85,6.3,38.1,0.228,1.434,,7.67,0.278,4.86,20.5,38.4,G2H015Q01,G22H,3.062428688,2.892884926,2.846932556
101975,1993/02/23 06:30,0,DWS-RQIS,HGCL2,14.8,107.4,318,46.1,0.24,11.27,9.2,69.4,0.165,2.739,,7.73,0.915,7.2,22.6,56.2,G2H015Q01,G22H,4.810149525,4.70539924,1.100832828
101975,1993/03/02 07:00,0,DWS-RQIS,HGCL2,15.5,106.7,340,51.4,0.28,11.1,10,72.9,0.199,3.776,,8.01,1.251,7.43,16.1,70.9,G2H015Q01,G22H,5.06062084,4.873846772,1.880061174
101975,1993/03/09 07:00,0,DWS-RQIS,HGCL2,19.2,160.3,463,67.2,0.36,13.82,13.9,101.4,0.612,1.933,,7.76,1.589,6.69,25.1,94.4,G2H015Q01,G22H,6.897787244,7.026169222,-0.922022253
101975,1993/03/16 07:30,0,DWS-RQIS,HGCL2,16.8,125.1,414,67.3,0.25,14.89,10.9,92.1,0.794,4.117,,7.7,1.506,7.44,21.2,89.2,G2H015Q01,G22H,6.16430193,5.876269753,2.392180242
101975,1993/03/23 07:45,0,DWS-RQIS,HGCL2,19,78.6,354,59.3,0.2,15.05,6.5,66.5,0.133,10.842,,7.83,1.317,8.24,20,78.5,G2H015Q01,G22H,4.766214069,4.427304355,3.686398382
101975,1993/03/30 07:45,0,DWS-RQIS,HGCL2,19.7,130.9,421,73.4,0.19,12.93,11.4,93.1,0.666,4.241,,7.56,2.161,6.87,22.9,85,G2H015Q01,G22H,6.33633187,6.010556163,2.63852483
101975,1993/04/06 07:20,0,DWS-RQIS,HGCL2,11.3,43.4,161,27.8,0.19,7.26,4.7,27.8,0.356,1.343,,7.63,0.2,3.1,12.4,38.5,G2H015Q01,G22H,2.364573477,2.288576807,1.633230513
101975,1993/04/13 07:00,0,DWS-RQIS,HGCL2,15.8,62.7,209,30.8,0.26,7.35,7.9,31.8,0.442,2.105,,7.5,0.046,4.63,21.1,43.1,G2H015Q01,G22H,3.033379477,3.116411549,-1.350160858
101975,1993/04/20 07:10,0,DWS-RQIS,HGCL2,13.6,65.6,204,35.2,0.26,6.41,7.5,35.4,0.586,1.486,,8.03,0.122,4.67,16.8,41.7,G2H015Q01,G22H,3.031212799,3.073027704,-0.685014044
101975,1993/04/27 07:00,0,DWS-RQIS,HGCL2,13.7,73.9,234,41,0.19,7.39,8.6,45.1,0.534,2.107,,7.64,0.173,5.18,17.2,47.3,G2H015Q01,G22H,3.57064949,3.435097628,1.93486662
101975,1993/05/04 07:00,0,DWS-RQIS,HGCL2,6.5,27.2,92,17.6,0.16,2.67,3.6,14.9,0.383,0.569,,7.59,0.041,2.33,9.4,20.3,G2H015Q01,G22H,1.357876132,1.386719944,-1.050931046
101975,1993/05/11 07:00,0,DWS-RQIS,HGCL2,15.4,87.8,260,44.7,0.4,7.1,9.7,49.4,0.268,2.821,,7.71,0.045,5.64,17.2,48.8,G2H015Q01,G22H,3.910734364,3.875173579,0.456732665
101975,1993/05/18 07:00,0,DWS-RQIS,HGCL2,23.1,94.4,304,52.6,0.25,7.29,10,51.4,0.279,2.971,,7.28,0.036,5.75,16.5,71.7,G2H015Q01,G22H,4.41189259,4.498761321,-0.974886154
101975,1993/05/25 07:00,0,DWS-RQIS,HGCL2,17.6,94.9,291,48.9,0.26,8.4,10.9,56.1,0.908,2.838,,7.54,0.202,6.48,15.7,59.7,G2H015Q01,G22H,4.479333467,4.259819764,2.511841785
101975,1993/05/31 17:20,0,DWS-RQIS,HGCL2,13.7,58.3,186,34.3,0.15,5.19,7.5,33.6,0.309,1.131,,7.14,0.04,5,13.3,40.1,G2H015Q01,G22H,2.911348526,2.748448357,2.878198154
101975,1993/06/07 17:39,0,DWS-RQIS,HGCL2,15.5,71.2,238,41.7,0.21,6.67,9.2,46.9,0.573,1.445,,7.58,0.174,5.46,16.3,52.5,G2H015Q01,G22H,3.771820981,3.434717592,4.677743498
101975,1993/06/14 18:25,0,DWS-RQIS,HGCL2,13.5,47.4,191,34.9,0.16,5.17,7.2,32.3,0.595,1.494,,7.26,0.189,4.91,17.2,48.9,G2H015Q01,G22H,2.835537746,2.709657973,2.270069073
101975,1993/06/21 08:00,0,DWS-RQIS,HGCL2,13.4,69.3,217,39.6,0.38,6.14,8.4,38.6,0.292,1.116,,7.64,0.162,5.48,15.6,48.9,G2H015Q01,G22H,3.211203542,3.297890276,-1.331778846
101975,1993/06/28 17:30,0,DWS-RQIS,HGCL2,13.5,63.1,210,30.5,0.28,6.65,7.4,38.6,0.188,1.591,,7.52,0.073,4.97,17,45.5,G2H015Q01,G22H,3.141152247,3.083966311,0.918632067
101975,1993/07/06 08:30,0,DWS-RQIS,HGCL2,15,80.3,250,46.5,0.34,6.32,9.9,47.7,0.432,1.692,,7.22,0.1,6.39,16.8,53.7,G2H015Q01,G22H,3.822494363,3.733950581,1.171765059
101975,1993/07/12 18:15,0,DWS-RQIS,HGCL2,10.5,41.6,164,28.3,0.28,6.38,5.8,26.3,0.059,0.934,,7.39,0.093,4.12,17.8,41.5,G2H015Q01,G22H,2.310984422,2.405016637,-1.99389723
101975,1993/07/19 17:30,0,DWS-RQIS,HGCL2,7.4,26.7,109,23.1,0.16,3.49,4.5,18.4,0.33,0.685,,7.21,0.099,3.77,11.2,27.1,G2H015Q01,G22H,1.647039322,1.549798962,3.041766631
101975,1993/07/26 17:21,0,DWS-RQIS,HGCL2,25.1,100.2,375,54.6,0.35,13.26,13.9,62.2,0.02,0.02,,7.02,0.09,4.79,26.6,108.9,G2H015Q01,G22H,5.440492618,5.57571096,-1.227449559
101975,1993/08/02 18:00,0,DWS-RQIS,HGCL2,13.2,42,166,27.2,0.33,3.95,6.2,23.5,0.093,0.854,,7.31,0.113,4.3,18.2,44.6,G2H015Q01,G22H,2.296570996,2.48858174,-4.012635639
101975,1993/08/09 17:00,0,DWS-RQIS,HGCL2,11.7,46.4,171,30.7,0.26,4.44,6.9,27.4,0.139,1.323,,7.76,0.121,4.8,16.4,41.9,G2H015Q01,G22H,2.464023939,2.525197361,-1.226111611
101975,1993/08/16 17:50,0,DWS-RQIS,HGCL2,13,51,181,33.2,0.23,4.49,7.4,33.2,0.171,1.076,,7.08,0.07,5.62,12.8,44.1,G2H015Q01,G22H,2.825244571,2.616679524,3.832560739
101975,1993/08/23 17:30,0,DWS-RQIS,HGCL2,12.3,56.3,192,33.6,0.23,4.68,7,34.1,0.1,1.247,,7.24,0.053,5.45,13.8,47.5,G2H015Q01,G22H,2.797455367,2.857008176,-1.053199978
101975,1993/08/30 17:00,0,DWS-RQIS,HGCL2,14.6,63.5,226,37.8,0.24,5.61,8.8,44.2,0.138,1.2,,7.85,0.046,6.28,18.2,53.8,G2H015Q01,G22H,3.525343444,3.276943556,3.65171138
101975,1993/09/06 18:12,0,DWS-RQIS,HGCL2,11.4,62.7,208,35.6,0.22,5.04,8.5,38.1,0.351,1.399,,7.37,0.03,5.56,19,46.5,G2H015Q01,G22H,3.073089026,3.126709451,-0.864873679
101975,1993/09/20 17:00,0,DWS-RQIS,HGCL2,14.5,65.3,231,39.6,0.24,5.59,8.3,44.1,0.33,1.902,,7.24,0.225,6.96,16.2,55.5,G2H015Q01,G22H,3.485010982,3.336999685,2.169613979
101975,1993/09/27 16:40,0,DWS-RQIS,HGCL2,14.2,70.9,244,38,0.22,5.84,9.9,46.8,0.375,2.308,,7.74,0.052,6.36,15.4,57.1,G2H015Q01,G22H,3.728020797,3.510129437,3.010318281
101975,1993/10/04 17:00,0,DWS-RQIS,HGCL2,14.3,70.4,242,35.3,0.23,5.91,8.6,46.9,0.357,2.231,,7.63,0.08,7.2,24,50.4,G2H015Q01,G22H,3.631150551,3.54119375,1.254217548
101975,1993/10/11 16:45,0,DWS-RQIS,HGCL2,14.4,82,255,36.9,0.26,6.45,7.6,50.5,0.428,2.224,,7.39,0.161,7.03,15.2,55.6,G2H015Q01,G22H,3.728110481,3.792835693,-0.860599324
101975,1993/10/18 17:10,0,DWS-RQIS,HGCL2,15.2,91.8,278,45.3,0.31,7.26,9.8,57.3,0.296,2.404,,7.21,0.187,6.4,16.9,55.5,G2H015Q01,G22H,4.258115642,4.108627701,1.786692088
101975,1993/11/01 17:00,0,DWS-RQIS,HGCL2,15.7,113.8,329,59.2,0.49,9.54,11.1,72.9,0.299,2.969,,7.4,0.402,6.93,20.1,58.2,G2H015Q01,G22H,5.126788739,4.874319366,2.524414
101975,1993/11/08 17:00,0,DWS-RQIS,HGCL2,16.7,119.6,374,58.3,0.31,11.65,11.1,81.2,0.51,3.548,,7.75,1.454,6.89,25.4,71.5,G2H015Q01,G22H,5.603220033,5.447087495,1.412924821
101975,1993/11/15 16:50,0,DWS-RQIS,HGCL2,22.3,139.2,433,66.8,0.29,13.34,14.3,92.7,0.076,2.787,,7.6,1.179,5.72,28.9,86.7,G2H015Q01,G22H,6.665007659,6.354029926,2.388638416
101975,1993/11/22 16:15,0,DWS-RQIS,HGCL2,19.5,141.5,419,67.1,0.35,11.86,12.9,88.4,0.189,1.99,,7.65,1.52,6.91,27.4,84.4,G2H015Q01,G22H,6.191600043,6.342672654,-1.205276244
101975,1993/11/29 16:25,0,DWS-RQIS,HGCL2,19.3,147.6,452,73.9,0.52,14.28,11.6,95.6,0.496,3.058,,7.65,3.117,7.08,27.2,92.2,G2H015Q01,G22H,6.466620712,6.742946063,-2.091857779
101975,1994/01/03 16:50,0,DWS-RQIS,HGCL2,6.1,23.7,94,18.3,0.12,3.57,3.4,15.8,0.098,0.571,,7.7,0.276,2.03,8.3,24.6,G2H015Q01,G22H,1.367780106,1.356583623,0.410976097
101975,1994/01/11 17:10,0,DWS-RQIS,HGCL2,16.3,112.6,340,50.4,0.18,9.63,11.4,72.3,0.146,1.311,,7.47,0.833,5.46,25.4,69,G2H015Q01,G22H,5.149120118,5.13737112,0.114217747
101975,1994/01/17 16:30,0,DWS-RQIS,HGCL2,16,80,275,40.2,0.24,8.17,8.5,52.6,0.094,1.683,,8.03,0.7,5.34,29.3,57.5,G2H015Q01,G22H,3.998723616,4.075184608,-0.947013394
101975,1994/01/24 17:00,0,DWS-RQIS,HGCL2,13.7,79.3,267,44.2,0.33,7.91,7.8,53.4,0.09,1.956,,7.69,1.167,5.01,19.5,59.4,G2H015Q01,G22H,3.854308,3.91339952,-0.760733071
101975,1994/01/31 17:00,0,DWS-RQIS,HGCL2,10.8,66.3,228,34.8,0.21,8.53,7.1,50.3,0.02,1.39,,7.5,0.844,5.07,16.4,49.1,G2H015Q01,G22H,3.529241707,3.251041386,4.103078253
101975,1994/02/07 17:40,0,DWS-RQIS,HGCL2,14.4,81.4,280,46.2,0.15,9.1,6.3,57.2,0.02,1.946,,7.4,0.933,5.41,22.7,63,G2H015Q01,G22H,3.957527213,4.094127296,-1.696546748
101975,1994/02/14 16:45,0,DWS-RQIS,HGCL2,13.9,54.8,265,37.5,0.28,21.14,5,47.2,0.08,0.712,,9.5,0.967,6.66,26.9,73.7,G2H015Q01,G22H,3.702072786,3.634253034,0.924437568
101975,1994/02/21 17:00,0,DWS-RQIS,HGCL2,13.6,72.9,281,44.8,0.22,16.8,6.3,51.2,0.02,0.824,,7.8,1.231,5.91,19.7,75.9,G2H015Q01,G22H,3.853688345,4.045253675,-2.425202386
101975,1994/02/28 17:00,0,DWS-RQIS,HGCL2,11.5,99.5,320,49.4,0.41,14.15,7.2,70.6,0.02,1.822,,7.68,2.04,5.76,21.8,66,G2H015Q01,G22H,4.598727589,4.691898067,-1.002843956
101975,1994/03/07 17:50,0,DWS-RQIS,HGCL2,11.2,43.4,147,26.7,0.2,5.25,4.1,25.1,0.208,0.313,,7.37,0.421,2.15,20.6,28.4,G2H015Q01,G22H,2.133183054,2.248124734,-2.623455957
101975,1994/03/22 07:50,0,DWS-RQIS,HGCL2,10.9,76.2,246,36.7,0.46,9.43,6.8,50.9,0.04,0.758,,7.57,1.003,4.49,14.7,57.5,G2H015Q01,G22H,3.559753851,3.670520212,-1.531980117
101975,1994/03/29 08:00,0,DWS-RQIS,HGCL2,10.4,73.1,239,34.9,0.41,8.05,7.1,48.6,0.02,0.658,,7.9,1.084,4.51,21.4,52.6,G2H015Q01,G22H,3.423102324,3.622947766,-2.836276202
101975,1994/04/01 07:50,0,DWS-RQIS,HGCL2,10.8,57.4,199,31.1,0.42,7.1,6.1,39.3,0.02,0.857,,7.79,0.813,4.54,11.5,49.6,G2H015Q01,G22H,2.932103421,2.909836964,0.381148314
101975,1994/04/05 07:45,0,DWS-RQIS,HGCL2,8.9,61.5,195,31.2,0.22,6.17,6.5,40.1,0.02,1.032,,7.49,0.492,4.11,17.9,39.1,G2H015Q01,G22H,2.881259582,2.930683933,-0.850392837
101975,1994/04/26 07:50,0,DWS-RQIS,HGCL2,11.1,58.1,217,34.1,0.33,7.87,6.7,42.5,0.292,2.639,,7.45,1.912,4.78,20,43,G2H015Q01,G22H,3.170383371,3.033164693,2.211938653
101975,1994/05/09 07:50,0,DWS-RQIS,HGCL2,9.2,52,179,30.7,0.27,6.16,5.6,36.1,0.416,1.469,,7.4,1.16,3.76,12.7,37.8,G2H015Q01,G22H,2.669979303,2.559632399,2.110040112
101975,1994/05/16 18:25,0,DWS-RQIS,HGCL2,9.1,58.1,191,32.1,0.44,6.23,6.5,38.2,0.05,1.376,,7.86,0.744,4.22,19,37.1,G2H015Q01,G22H,2.811827142,2.842887334,-0.549279588
101975,1994/05/24 08:00,0,DWS-RQIS,HGCL2,8.8,57.2,191,31.1,0.21,10.19,5.7,34.6,0.094,0.859,,7.55,0.869,4.2,11.2,46.6,G2H015Q01,G22H,2.678222405,2.828707712,-2.732653294
101975,1994/05/30 18:30,0,DWS-RQIS,HGCL2,9.8,25,102,15.4,0.1,1.99,3.5,12.9,0.074,0.17,,8.05,0.008,2.8,9.4,31.3,G2H015Q01,G22H,1.392719715,1.53411263,-4.830919488
101975,1994/06/06 18:20,0,DWS-RQIS,HGCL2,9.9,54.8,169,30.3,0.38,7.59,5.6,30.8,0.145,2.101,,7.47,0.672,4.54,14.3,28.3,G2H015Q01,G22H,2.495974573,2.482376781,0.273138461
101975,1994/06/10 17:47,0,DWS-RQIS,HGCL2,10.3,64.1,203,36.2,0.56,6.17,6.9,41.2,0.05,1.519,,7.07,0.471,4.94,19.5,37.8,G2H015Q01,G22H,3.033499582,3.036308435,-0.046275798
101975,1994/06/20 18:30,0,DWS-RQIS,HGCL2,8.3,39.5,143,23.3,0.35,4.78,5.6,23.4,0.151,1.073,,7.26,0.123,2.79,27.6,23,G2H015Q01,G22H,2.02290127,2.186689436,-3.890833523
101975,1994/06/27 18:25,0,DWS-RQIS,HGCL2,10.5,43.1,151,28.1,0.32,5.45,6.2,24.3,0.02,1.632,,7.66,0.042,3.46,16.6,30.2,G2H015Q01,G22H,2.230997878,2.208048974,0.5169782
101975,1994/07/05 07:45,0,DWS-RQIS,HGCL2,16.4,76.7,251,43,0.54,7.01,9.7,41,0.365,2.5,,7.6,0.221,5.75,29.7,47.7,G2H015Q01,G22H,3.598479383,3.8083921,-2.834026731
101975,1994/07/12 09:00,0,DWS-RQIS,HGCL2,15.6,83.7,249,44.2,0.27,6.94,9.3,45.9,0.13,2.082,,7.99,0.146,4.85,24.7,43.5,G2H015Q01,G22H,3.723854964,3.794196043,-0.935629188
101975,1994/07/18 18:00,0,DWS-RQIS,HGCL2,12.2,55.3,177,31.2,0.23,4.61,6.7,32.8,0.112,0.559,,7.57,0.156,3.07,20.7,34,G2H015Q01,G22H,2.710131124,2.694595436,0.28744634
101975,1994/07/25 17:50,0,DWS-RQIS,HGCL2,11.8,38.8,146,23.9,0.19,4.67,5.9,23.2,0.113,0.95,,7.45,0.153,3.52,15.4,33.9,G2H015Q01,G22H,2.208536156,2.121611386,2.00743207
101975,1994/08/01 17:30,0,DWS-RQIS,HGCL2,16.9,81.7,265,42.3,0.57,6.57,9.6,46.2,0.02,1.436,,7.6,0.144,5.44,26.1,58,G2H015Q01,G22H,3.810853679,4.062301293,-3.193733831
101975,1994/08/09 07:50,0,DWS-RQIS,HGCL2,14.5,62.4,214,36.2,0.37,6.11,7.1,37.6,0.114,2.071,,7.81,0.77,5.23,20.2,44.6,G2H015Q01,G22H,3.104936087,3.1473346,-0.678129841
101975,1994/08/22 18:15,0,DWS-RQIS,HGCL2,15.8,87,255,39.9,0.2,6.43,10.2,46.8,0.02,1.922,,7.77,0.336,4.69,21.9,46.5,G2H015Q01,G22H,3.827879946,3.888616302,-0.787097588
101975,1994/08/29 18:15,0,DWS-RQIS,HGCL2,16.3,82.8,255,44.7,0.27,6.56,8.4,48.2,0.02,1.956,,7.56,0.13,3.63,23,49.2,G2H015Q01,G22H,3.768863827,3.844926597,-0.999013183
101975,1994/08/30 18:30,0,DWS-RQIS,HGCL2,16.1,80.4,254,40,0.26,6.68,10.2,46.8,0.102,1.722,,7.65,0.323,5.24,23.5,50.1,G2H015Q01,G22H,3.853791957,3.807521018,0.603955732
101975,1994/09/05 17:30,0,DWS-RQIS,HGCL2,16.8,89.5,266,47.5,0.35,6.53,9.8,50.8,0.02,2.288,,7.88,0.451,3.69,16.8,52,G2H015Q01,G22H,4.021304035,3.98032894,0.512084156
